id;isbn;name;author;publishing;year;language;pageCount;price;difficulty;wordCount;level;genre1;genre2;accessories
MAR-AJ-0001;;Gulliver's Travels;Jonathan Swift;Pearson;2008;British English;48; 155 Kè ;2;600;A2;Classic literature;Adventure;
MAR-AJ-0002;;Gulliver's Travels;Jonathan Swift;Pearson;2008;British English;48; 155 Kè ;2;600;A2;Classic literature;Adventure;
MAR-AJ-0003;;A Christmas Carol;Charles Dickens;Pearson;2008;British English;44; 155 Kè ;2;600;A2;Classic literature;Cultural and social issues;
MAR-AJ-0004;;A Christmas Carol;Charles Dickens;Pearson;2008;British English;44; 155 Kè ;2;600;A2;Classic literature;Cultural and social issues;
MAR-AJ-0005;;Of Mice and Men;John Steinbeck;Pearson;2008;American English;56; 155 Kè ;2;600;A2;Classic literature;Cultural and social issues;
MAR-AJ-0006;;Of Mice and Men;John Steinbeck;Pearson;2008;American English;56; 155 Kè ;2;600;A2;Classic literature;Cultural and social issues;
MAR-AJ-0007;;Three Short Stories of Sherlock Holmes;Sir Arthur Conan Doyle;Pearson;2008;British English;56; 155 Kè ;2;600;A2;Classic literature;Crime/Mystery;
MAR-AJ-0008;;Three Short Stories of Sherlock Holmes;Sir Arthur Conan Doyle;Pearson;2008;British English;56; 155 Kè ;2;600;A2;Classic literature;Crime/Mystery;
MAR-AJ-0009;;Simply Suspense;Frank Stockton;Pearson;2008;British English;56; 172 Kè ;2;600;A2;Short stories;Thriller;Audio CD
MAR-AJ-0010;;Simply Suspense;Frank Stockton;Pearson;2008;British English;56; 172 Kè ;2;600;A2;Short stories;Thriller;Audio CD
MAR-AJ-0011;;Extreme Sports;Michael Dean;Pearson;2008;American English;36; 155 Kè ;2;600;A2;Non-fiction;Adventure;
MAR-AJ-0012;;Extreme Sports;Michael Dean;Pearson;2008;American English;36; 155 Kè ;2;600;A2;Non-fiction;Adventure;
MAR-AJ-0013;;Stories of Other Worlds;Herbert George Wells;Pearson;2015;British English;64; 172 Kè ;2;600;A2;Short stories;Sci-fi/Fantasy;Audio CD
MAR-AJ-0014;;Parallel;Colin Campbell;Cambridge;2004;British English;32; 165 Kè ;1;400;A1;Thriller;;Downloadable audio
MAR-AJ-0015;;Within High Fences;Penny Hancock;Cambridge;2005;British English;48; 165 Kè ;2;800;A2;Romance;;Downloadable audio
MAR-AJ-0016;;Superbird;Brian Tomlinson;Cambridge;1999;British English;48; 165 Kè ;2;800;A2;Sci-fi/Fantasy;;Downloadable audio
MAR-AJ-0017;;Double Cross;Philip Prowse;Cambridge;1999;British English;64; 165 Kè ;3;1300;B1;Thriller;;Downloadable audio
MAR-AJ-0018;;Ironing Man;Colin Campbell;Cambridge;1999;British English;63; 130 Kè ;3;1300;B1;Comedy;;Downloadable audio
MAR-AJ-0019;;Wild Country;Margaret Johnson;Cambridge;2007;British English;64; 130 Kè ;3;1300;B1;Romance;;Downloadable audio
MAR-AJ-0020;;How I Met Myself;David Hill;Cambridge;2001;British English;64; 165 Kè ;3;1300;B1;Ghost story;;Downloadable audio
MAR-AJ-0021;;Berlin Express;Michael Austen;Cambridge;2010;British English;80; 165 Kè ;4;1900;B1/B2;Thriller;;Downloadable audio
MAR-AJ-0022;;Fruitcake Special and Other Stories;Frank Brennan;Cambridge;2000;British English;78; 165 Kè ;4;1900;B1/B2;Short stories;;
MAR-AJ-0023;;Staying Together;Judith Wilson;Cambridge;2001;British English;80; 165 Kè ;4;1900;B1/B2;Romance;;Downloadable audio
MAR-AJ-0024;;Dragons´ Eggs;Julia Morgan Newsome;Cambridge;2010;British English;96; 165 Kè ;5;2800;B2;Human interest;;Downloadable audio
MAR-AJ-0025;;Dolphin Music;Antoinette Moses;Cambridge;1999;British English;96; 165 Kè ;5;2800;B2;Thriller;;Downloadable audio
MAR-AJ-0026;;Solo Saxophone;Jeremy Harmer;Cambridge;2011;British English;112; 165 Kè ;6;3800;C1;Human interest;;Downloadable audio
MAR-AJ-0027;;Trumpet Voluntary;Jeremy Harmer;Cambridge;1999;British English;111; 165 Kè ;6;3800;C1;Thriller;;Downloadable audio
MAR-AJ-0028;;Dangerous Sky;Michael Austen;Cambridge;2013;British English;112; 165 Kè ;6;3800;C1;Human interest;;Downloadable audio
MAR-AJ-0029;;The Caribbean File ;Richard MacAndrew;Cambridge;2013;British English;32; 139 Kè ;1;400;A1;Thriller;;Downloadable audio
MAR-AJ-0030;;Three Tomorrows;Frank Brennan;Cambridge;2007;British English;32; 150 Kè ;1;400;A1;Short stories;;Downloadable audio
MAR-AJ-0031;;Help!;Philip Prowse;Cambridge;1999;British English;32; 139 Kè ;1;400;A1;Comedy;;Downloadable audio
MAR-AJ-0032;;Jojo's Story;Antoinette Moses;Cambridge;2000;British English;48; 150 Kè ;2;800;A2;Human interest;;Downloadable audio
MAR-AJ-0033;;One Day;Helen Naylor;Cambridge;2008;British English;48; 150 Kè ;2;800;A2;Human interest;;Downloadable audio
MAR-AJ-0034;;Dead Cold;Sue Leather;Cambridge;2006;American English;48; 150 Kè ;2;800;A2;Crime/Mystery;;Downloadable audio
MAR-AJ-0035;;The New Zealand File;Richard MacAndrew;Cambridge;2009;British English;48; 138 Kè ;2;800;A2;Thriller;;Downloadable audio
MAR-AJ-0036;;Apollo's Gold;Antoinette Moses;Cambridge;1999;British English;48; 150 Kè ;2;800;A2;Adventure;;Downloadable audio
MAR-AJ-0037;;Circle Games;Frank Brennan;Cambridge;2005;British English;48; 150 Kè ;2;800;A2;Short stories;;Downloadable audio
MAR-AJ-0038;;Not Above the Law;Richard MacAndrew;Cambridge;2010;British English;64; 150 Kè ;3;1300;B1;Crime/Mystery;;Downloadable audio
MAR-AJ-0039;;Strong Medicine;Richard MacAndrew;Cambridge;2007;British English;64; 150 Kè ;3;1300;B1;Crime/Mystery;;Downloadable audio
MAR-AJ-0040;;Tales of the Supernatural;Frank Brennan;Cambridge;2004;British English;64; 150 Kè ;3;1300;B1;Short stories;;Downloadable audio
MAR-AJ-0041;;The House by the Sea;Patricia Aspinall;Cambridge;1999;British English;64; 150 Kè ;3;1300;B1;Thriller;;Downloadable audio
MAR-AJ-0042;;Nothing but the Truth;George Kershaw;Cambridge;1999;British English;80; 150 Kè ;4;1900;B1/B2;Adventure;;Downloadable audio
MAR-AJ-0043;;Man Hunt;Richard MacAndrew;Cambridge;2012;British English;80; 150 Kè ;4;1900;B1/B2;Crime/Mystery;;Downloadable audio
MAR-AJ-0044;;The Sugar Glider;Rod Nielsen;Cambridge;2003;British English;96; 150 Kè ;5;2800;B2;Adventure;;Downloadable audio
MAR-AJ-0045;;Windows of the Mind;Frank Brennan;Cambridge;2001;British English;96; 150 Kè ;5;2800;B2;Short stories;;Downloadable audio
MAR-AJ-0046;;Ten Long Years;Alan Battersby;Cambridge;2013;American English;32; 139 Kè ;1;400;A1;Thriller;;Downloadable audio
MAR-AJ-0047;;Don't Stop Now!;Philip Prowse;Cambridge;2005;British English;32; 150 Kè ;1;400;A1;Thriller;;
MAR-AJ-0048;;Different Worlds ;Margaret Johnson;Cambridge;2003;British English;48; 150 Kè ;2;800;A2;Romance;;Downloadable audio
MAR-AJ-0049;; The Dark Side of the City;Alan Battersby;Cambridge;2012;American English;48; 150 Kè ;2;800;A2;Thriller;;Downloadable audio
MAR-AJ-0050;;Bad Company ;Richard MacAndrew;Cambridge;2011;British English;48; 139 Kè ;2;800;A2;Crime/Mystery;;Downloadable audio
MAR-AJ-0051;;Just Good Friends;Penny Hancock;Cambridge;1999;British English;64; 150 Kè ;3;1300;B1;Romance;;
MAR-AJ-0052;;The Beast ;Carolyn Walker;Cambridge;2001;British English;64; 150 Kè ;3;1300;B1;Horror/Fantasy;;Downloadable audio
MAR-AJ-0053;;A Puzzle for Logan;Richard MacAndrew;Cambridge;2001;British English;64; 150 Kè ;3;1300;B1;Crime/Mystery;;Downloadable audio
MAR-AJ-0054;;Eye of the Storm;Mandy Loader;Cambridge;2003;American English;64; 150 Kè ;3;1300;B1;Thriller;;Downloadable audio
MAR-AJ-0055;;Love in the Lakes;Penny Hancock;Cambridge;2008;British English;80; 150 Kè ;4;1900;B1/B2;Romance;;Downloadable audio
MAR-AJ-0056;;The Lady in White;Colin Campbell;Cambridge;1999;British English;80; 150 Kè ;4;1900;B1/B2;Ghost story;;Downloadable audio
MAR-AJ-0057;;The University Murders;Richard MacAndrew;Cambridge;2003;British English;80; 150 Kè ;4;1900;B1/B2;Crime/Mystery;;Downloadable audio
MAR-AJ-0058;;When Summer Comes;Helen Naylor;Cambridge;1999;British English;80; 150 Kè ;4;1900;B1/B2;Human interest;;Downloadable audio
MAR-AJ-0059;;Emergency Murder ;Janet McGiffin;Cambridge;2003;American English;96; 150 Kè ;5;2800;B2;Crime/Mystery;;Downloadable audio
MAR-AJ-0060;;In the Shadow of the Mountain;Helen Naylor;Cambridge;1999;British English;96; 150 Kè ;5;2800;B2;Human interest;;Downloadable audio
MAR-AJ-0061;;Better Late Than Never;Julia Morgan Newsome;Cambridge;2013;British English;96; 139 Kè ;5;2800;B2;Thriller;;Downloadable audio
MAR-AJ-0062;;He Knows Too Much;Alan Maley;Cambridge;1999;British English;112; 150 Kè ;6;3800;C1;Human interest;;Downloadable audio
MAR-AJ-0063;;Nelson's Dream;Julia Morgan Newsome;Cambridge;2008;British English;112; 150 Kè ;6;3800;C1;Human interest;;Downloadable audio
MAR-AJ-0064;;Journey to the Centre of the Earth;Jules Verne;Black Cat;2011;British English;112; 216 Kè ;3;1200;B1;Classic literature;Adventure;Audio CD
MAR-AJ-0065;;The Jumping Frog;Mark Twain;Black Cat;2004;American English;96; 234 Kè ;3;1200;B1;Classic literature;Comedy;Audio CD
MAR-AJ-0066;;The 1,000,000 Banknote;Mark Twain;Black Cat;2008;American English;96; 234 Kè ;3;1200;B1;Classic literature;Comedy;Audio CD
MAR-AJ-0067;;The Greatest Invention of All Time;Nic Harris;Cambridge;2014;American English;24; 230 Kè ;2;700;A2;Non-fiction;;Online video
MAR-AJ-0068;;Aliens: Is Anybody Out There?;Genevieve Kocienda;Cambridge;2014;American English;24; 230 Kè ;2;700;A2;Non-fiction;;Online video
