id;isbn;name;author;publishing;year;language;pageCount;price;difficulty;wordCount;level;genre1;genre2;accessories
MAR-IT-0001;978-80-271-2891-4;Python - Kompletní pøíruèka jazyka pro verzi 3.8;Rudolf Pecinovskı;Grada;2020;Èeština;432; 449 Kè ;-;;;Programování;;
MAR-IT-0002;978-80-904248-2-1;Ponoøme se do Pythonu 3;Mark Pilgrim;CZ.NIC;2010;Èeština;430;;-;;;Programování;;
MAR-IT-0003;978-80-88168-31-7;CyberSecurity;Jan Kolouch, Pavel Bašta;CZ.NIC;2019;Èeština;556;;-;;;Bezpeènost;;
MAR-IT-0004;978-80-88168-15-7;CyberCrime;Jan Kolouch;CZ.NIC;2016;Èeština;522;;-;;;Bezpeènost;;
MAR-IT-0005;978-80-88168-23-2;Hradla, volty, jednoèipy;Martin Malı;CZ.NIC;2017;Èeština;508;;-;;;Hardware;Elektrotechnika;
MAR-IT-0006;978-80-271-0715-5;Java 9 - Kompletní pøíruèka jazyka;Rudolf Pecinovskı;Grada;2018;Èeština;560;;-;;;Programování;;
MAR-IT-0007;80-251-0482-6;Digitální fotografie ve Photoshopu CS;Scott Kelby;Computer Press;2004;Èeština;372;489 Kè;-;;;Design;;
MAR-IT-0008;80-251-0531-8;Velká kniha k Adobe Photoshop CS;Ben Willmore;CP Books;2005;Èeština;672;695 Kè;-;;;Design;;
MAR-IT-0009;80-7169-373-1;PHP - Tvorba interaktivních internetovıch aplikací;Jíøí Kosek;Grada;1999;Èeština;490;528 Kè;-;;;Programování;Web;
MAR-IT-0010;978-80-251-4163-2;JavaScript okamitì;Ara Pehlivian, Don Nguyen;Computer Press;2014;Èeština;160;249 Kè;-;;;Programování;Web;
MAR-IT-0011;978-80-251-4176-2;CSS okamitì;Louis Lazaris;Computer Press;2014;Èeština;168;249 Kè;-;;;Programování;Web;
MAR-IT-0012;978-80-251-2617-2;SQL Kuchaøka programátora ;Anthony Molinaro;Computer Press;2009;Èeština;573;;-;;;Databáze;;
MAR-IT-0013;80-85763-19-2;Matematické principy grafickıch systémù;Dalibor Martišek ;Littera ;2002;Èeština;296;;-;;;Matematika ;Grafika;
MAR-IT-0014;978-80-247-2895-7;Principy krásného webdesignu ;Jason Beaird ;Grada ;2009;Èeština;160;;-;;;Programování;Web;
MAR-IT-0015;978-80-251-4103-8;Jquery - Kompletní prùvodce vıvojáøe;Jonathan Chaffer, Karl Swedberg;Computer Press;2011;Èeština;384;;-;;;Programování;Web;
MAR-IT-0016;978-80-251-3826-7;Sofwarové inenırství;Ian Somerville;Computer Press;2013;Èeština;680;;-;;;Software ;;
MAR-IT-0017;978-80-251-4201-1;Softwarové právo v IT;Lukáš Jansa, Petr Otevøel;Computer Press;2014;Èeština;416;;-;;;Software;;
MAR-IT-0018; 978-80-247-3100-1;Deep learning v jazyku Python;Francois Chollet;Grada;2018;Èeština;328;;-;;;Programování;;
MAR-IT-0019;978-80-7413-363-3;PHP 7 – Praktickı prùvodce nejrozšíøenìjším skriptovacím jazykem pro web;David Sklar;Zoner Press;2018;Èeština;368;;-;;;Programování;Web;
MAR-IT-0020;978-80-7232-481-1;Testování pro programátory;Pavel Herout;KOPP;2016;Èeština;408;;-;;;Programování;;
MAR-IT-0021;978-80-88168-49-2;Kryptografie okolo nás;Karel Burda;CZ.NIC;2019;Èeština;128;;-;;;Kryptografie;;
